Codes;Kurztitel 2008 (max. 40 Zeichen inkl. Leerstellen)
0;LAND- U. FORSTW., FISCHEREI
01;Landw. u. Jagd
011;Anbau einj. Pfl.
0111;Anbau v. Getreide u. Hülsenfrüchten
011100;Anbau v. Getreide u. Hülsenfrüchten
0112;Anbau v. Reis
011200;Anbau v. Reis
0113;Anbau v. Gemüse u. Melonen
011300;Anbau v. Gemüse u. Melonen
0114;Anbau v. Zuckerrohr
011400;Anbau v. Zuckerrohr
0115;Anbau v. Tabak
011500;Anbau v. Tabak
0116;Anbau v. Faserpfl.
011600;Anbau v. Faserpfl.
0119;Anbau v. sonst. einj. Pfl.
011900;Anbau v. sonst. einj. Pfl.
012;Anbau mehrj. Pfl.
0121;Anbau v. Wein- u. Tafeltrauben
012101;Anbau v. Wein- u. Tafeltrauben
012102;Weinbau – Kellerei
0122;Anbau v. sub- u. tropischen Früchten
012200;Anbau v. sub- u. tropischen Früchten
0123;Anbau v. Zitrusfrüchten
012300;Anbau v. Zitrusfrüchten
0124;Anbau v. Kern- u. Steinobst
012400;Anbau v. Kern- u. Steinobst
0125;Anbau v. sonst. Obst u. Nüssen
012500;Anbau v. sonst. Obst u. Nüssen
0126;Anbau v. ölhaltigen Früchten
012600;Anbau v. ölhaltigen Früchten
0127;Anbau v. Pfl. zur H.v. Getränken
012700;Anbau v. Pfl. zur H.v. Getränken
0128;Anbau v. aromat. u. pharma. Pfl.
012800;Anbau v. aromat. u. pharma. Pfl.
0129;Anbau sonst. mehrj. Pfl.
012900;Anbau sonst. mehrj. Pfl.
013;Betrieb v. Baumschulen
0130;Betrieb v. Baumschulen
013000;Betrieb v. Baumschulen
014;Tierhaltung
0141;Halt. v. Milchkühen
014100;Halt. v. Milchkühen
0142;Halt. v. Rindern
014200;Halt. v. Tieren der Rindergattung
0143;Halt. v. Pferden u. Eseln
014300;Halt. v. Tieren der Pferdegattung
0144;Halt. v. Kamelen
014400;Halt. v. Kameliden
0145;Halt. v. Schafen u. Ziegen
014500;Halt. v. Schafen u. Ziegen
0146;Halt. v. Schweinen
014600;Halt. v. Schweinen
0147;Halt. v. Geflügel
014700;Halt. v. Geflügel
0149;Sonst. Tierhalt.
014900;Sonst. Tierhalt.
015;Gemischte Landw.
0150;Gemischte Landw.
015000;Gemischte Landw.
016;Landw. DL
0161;Landw. DL f. den Pflanzenbau
016100;Landw. DL f. den Pflanzenbau
0162;Landw. DL f. die Tierhalt.
016200;Landw. DL f. die Tierhalt.
0163;Tätigk. in der pfl. Erz.
016300;Tätigk. in der pfl. Erz.
0164;Saatgutaufb.
016400;Saatgutaufb.
017;Jagt, Fallenstellerei u. verb. Tätigk.
0170;Jagt, Fallenstellerei u. verb. Tätigk.
017000;Jagt, Fallenstellerei u. verb. Tätigk.
02;Forstw. u. Holzeinschlag
021;Forstwirtschaft
0210;Forstwirtschaft
021000;Forstwirtschaft
022;Holzeinschlag
0220;Holzeinschlag
022000;Holzeinschlag
023;Sammeln v. wild wachsenden Prod. o. Holz
0230;Sammeln v. wild wachsenden Prod. o. Holz
023000;Sammeln v. wild wachsenden Prod. o. Holz
024;DL f. Forstw. u. Holzeinschlag
0240;DL f. Forstw. u. Holzeinschlag
024000;DL f. Forstw. u. Holzeinschlag
03;Fischerei u. Aquakultur
031;Fischerei
0311;Meeresfischerei
031100;Meeresfischerei
0312;Süsswasserfischerei
031200;Süsswasserfischerei
032;Aquakultur
0321;Meeresaquakultur
032100;Meeresaquakultur
0322;Süsswasseraquakultur
032200;Süsswasseraquakultur
0;BERGBAU U. GEW. V. STEINEN U. ERDEN
05;Kohlenbergbau
051;Steinkohlenbergbau
0510;Steinkohlenbergbau
051000;Steinkohlenbergbau
052;Braunkohlenbergbau
0520;Braunkohlenbergbau
052000;Braunkohlenbergbau
06;Gew. v. Erdöl u. Erdgas
061;Gew. v. Erdöl
0610;Gew. v. Erdöl
061000;Gew. v. Erdöl
062;Gew. v. Erdgas
0620;Gew. v. Erdgas
062000;Gew. v. Erdgas
07;Erzbergbau
071;Eisenerzbergbau
0710;Eisenerzbergbau
071000;Eisenerzbergbau
072;NE-Metallerzbergbau
0721;Bergbau auf Uran- u. Thoriumerze
072100;Bergbau auf Uran- u. Thoriumerze
0729;Sonst. NE-Metallerzbergbau
072900;Sonst. NE-Metallerzbergbau
08;Gew. v. Steinen u. Erden, sonst. Bergbau
081;Gew. v. Steinen, Kies, Ton, Kaolin
0811;Gew. v. Naturwerksteine usw.
081100;Gew. v. Naturwerksteine usw.
0812;Gew. v. Kies, Sand, Ton, Kaolin
081200;Gew. v. Kies, Sand, Ton, Kaolin
089;"Sonst. Bergbau; Gew. v. Steinen u. Erden"
0891;Bergbau auf chem. u. Düngemittelminerale
