ISCO;Title;green
2143;Environmental engineers;1.00
2144;Mechanical engineers;0.97
2145;Chemical engineers;0.94
1323;Construction managers;0.86
7111;House builders;0.86
2114;Geologists and geophysicists;0.85
2111;Physicists and astronomers;0.82
2146;Mining engineers, metallurgists and related professionals;0.78
2162;Landscape architects;0.78
2161;Building architects;0.77
2149;Engineering professionals not elsewhere classified;0.74
1321;Manufacturing managers;0.71
3123;Construction supervisors;0.71
7127;Air conditioning and refrigeration mechanics;0.71
7234;Bicycle and related repairers;0.71
2151;Electrical engineers;0.70
2112;Meteorologists;0.68
1311;Agricultural and forestry production managers;0.67
1312;Aquaculture and fisheries production managers;0.67
1223;Research and development managers;0.66
3141;Life science technicians (excluding medical);0.64
7411;Building and related electricians;0.64
1113;Traditional chiefs and heads of villages;0.63
2113;Chemists;0.62
3116;Chemical engineering technicians;0.62
2153;Telecommunications engineers;0.61
2141;Industrial and production engineers;0.60
211;Physical and earth science professionals;0.59
3118;Draughtspersons;0.59
1120;Managing directors and chief executives;0.57
3117;Mining and metallurgical technicians;0.57
2422;Policy administration professionals;0.56
3115;Mechanical engineering technicians;0.56
7541;Underwater divers;0.56
3432;Interior designers and decorators;0.55
7126;Plumbers and pipe fitters;0.55
7232;Aircraft engine mechanics and repairers;0.55
7115;Carpenters and joiners;0.54
2132;Farming, forestry and fisheries advisers;0.53
5411;Fire-fighters;0.53
1112;Senior government officials;0.52
1213;Policy and planning managers;0.52
1322;Mining managers;0.52
1349;Professional services managers not elsewhere classified;0.52
1439;Services managers not elsewhere classified;0.52
2164;Town and traffic planners;0.52
2165;Cartographers and surveyors;0.52
1420;Retail and wholesale trade managers;0.50
5221;Shopkeepers;0.50
7113;Stonemasons, stone cutters, splitters and carvers;0.50
7125;Glaziers;0.50
3132;Incinerator and water treatment plant operators;0.49
7131;Painters and related workers;0.49
9312;Civil engineering labourers;0.49
3143;Forestry technicians;0.48
3323;Buyers;0.48
7214;Structural-metal preparers and erectors;0.48
2421;Management and organization analysts;0.47
2631;Economists;0.47
3113;Electrical engineering technicians;0.47
3114;Electronics engineering technicians;0.47
3155;Air traffic safety electronics technicians;0.47
3522;Telecommunications engineering technicians;0.47
7114;Concrete placers, concrete finishers and related workers;0.47
7213;Sheet-metal workers;0.47
3334;Real estate agents and property managers;0.46
7123;Plasterers;0.46
7215;Riggers and cable splicers;0.46
2131;Biologists, botanists, zoologists and related professionals;0.45
2434;Information and communications technology sales professionals;0.45
7544;Fumigators and other pest and weed controllers;0.45
1324;Supply, distribution and related managers;0.44
2163;Product and garment designers;0.44
2433;Technical and medical sales professionals (excluding ICT);0.44
2633;Philosophers, historians and political scientists;0.43
3339;Business services agents not elsewhere classified;0.43
1431;Sports, recreation and cultural centre managers;0.42
8114;Cement, stone and other mineral products machine operators;0.42
1346;Financial and insurance services branch managers;0.41
2120;Mathematicians, actuaries and statisticians;0.41
2412;Financial and investment advisers;0.40
2512;Software developers;0.40
3131;Power production plant operators;0.40
8342;Earthmoving and related plant operators;0.40
1114;Senior officials of special-interest organizations;0.39
3139;Process control technicians not elsewhere classified;0.39
7122;Floor layers and tile setters;0.39
2261;Dentists;0.38
7522;Cabinet-makers and related workers;0.38
7542;Shotfirers and blasters;0.38
9623;Meter readers and vending-machine collectors;0.38
1219;Business services and administration managers not elsewhere classified;0.37
2519;Software and applications developers and analysts not elsewhere classified;0.37
8182;Steam engine and boiler operators;0.37
3111;Chemical and physical science technicians;0.36
3421;Athletes and sports players;0.36
7112;Bricklayers and related workers;0.36
7124;Insulation workers;0.36
1330;Information and communications technology service managers;0.35
1411;Hotel managers;0.35
